0,7.4483
15,7.5246
30,7.0249
45,7.0279
60,6.9625
75,6.7008
90,6.0604
105,5.6556
120,4.9212
135,4.7448
150,4.8759
165,4.5624
180,4.833
195,5.2667
210,5.0858
225,4.9905
240,4.6995
255,4.4707
270,4.3007
285,4.1558
300,3.6358
315,3.342
330,3.0178
345,3.2202
360,3.0364
375,3.021
390,2.8425
405,2.94
420,3.6792
435,4.097
450,4.9903
465,6.1684
480,8.143
495,8.4092
510,8.983
525,8.85
540,9.9766
555,11.416
570,12.239
585,13.404
600,14.333
615,15.123
630,15.219
645,15.991
660,16.705
675,16.979
690,17.646
705,18.393
720,18.102
735,18.273
750,18.606
765,18.852
780,19.524
795,19.826
810,20.097
825,20.709
840,21.075
855,21.42
870,21.485
885,22.067
900,21.732
915,21.981
930,22.313
945,22.446
960,22.481
975,22.874
990,23.193
1005,23.904
1020,24.043
1035,24.089
1050,24.171
1065,23.739
1080,24.048
1095,24.17
1110,24.07
1125,23.911
1140,23.644
1155,23.514
1170,23.222
1185,22.692
1200,22.145
1215,21.581
1230,21.072
1245,20.692
1260,20.167
1275,19.743
1290,19.355
1305,18.926
1320,18.584
1335,18.071
1350,17.49
1365,17.394
1380,16.538
1395,15.349
1410,14.084
1425,14.047
1440,13.883
1455,13.21
1470,13.465
1485,12.828
1500,12.356
1515,12.464
1530,11.921
1545,11.57
1560,11.288
1575,10.369
1590,10.22
1605,10.401
1620,10.398
1635,10.024
1650,9.2114
1665,8.8828
1680,8.9168
1695,8.8364
1710,8.6624
1725,8.6471
1740,8.4774
1755,8.2434
1770,8.3233
1785,8.07
1800,7.9684
1815,7.704
1830,7.689
1845,7.8772
1860,8.4195
1875,9.4573
1890,10.499
1905,11.017
1920,11.67
1935,12.201
1950,12.8
1965,12.885
1980,13.777
1995,14.159
2010,14.616
2025,15.169
2040,15.959
2055,16.229
2070,17.128
2085,17.33
2100,17.964
2115,18.639
2130,19.332
2145,20.302
2160,20.884
2175,20.782
2190,21.506
2205,21.774
2220,21.869
2235,22.485
2250,22.979
2265,22.926
2280,23.287
2295,23.613
2310,24.12
2325,24.01
2340,23.509
2355,24.352
2370,24.67
2385,24.239
2400,24.369
2415,25.403
2430,24.809
2445,25.118
2460,25.686
2475,24.885
2490,24.873
2505,24.942
2520,24.952
2535,24.67
